,FCS_3plus_up,rCSI_3plus_up,hhs_3plus_up,lcs_3plus_up,hdds_3plus_up,phase3_plus_up,average3_up,overall_phase,yearmon,U-R,HFA-Number-Current,HFA-Percent-Current,HFA-Kcal-Perc-Current,HFA_total_Current
53,0.85,0.05,0.2,0.5,0.25,0.35,0.4,3.0,2022-09,Rural,115049.76,0.15372042629375343,0.5,0.077
54,1.0,0.05,0.85,0.95,0.4,0.45,0.65,3.0,2022-09,Rural,353141.04,0.2725798574193837,0.75,0.20475000000000002
55,1.0,0.05,0.65,0.85,,0.45,0.65,3.0,2022-09,Urban,40086.899999999994,0.22400993663873547,0.5,0.112
56,0.6,0.1,0.2,0.3,0.2,0.25,0.3,3.0,2022-09,Rural,309985.19999999995,0.1711500414264,0.5,0.0855
57,0.85,0.05,0.15,0.6,0.6,0.55,0.45,4.0,2022-09,Rural,256674.18,0.25257740198076417,0.75,0.18975
58,0.95,0.35,0.8,0.85,0.35,0.35,0.65,3.0,2022-09,Rural,369219.9,0.20477158747986093,0.5,0.1025
59,0.9,0.45,0.7,0.85,,0.35,0.7,3.0,2022-09,Urban,29615.46,0.2480151274322496,0.5,0.124
60,0.9,0.2,0.15,0.8,0.5,0.45,0.5,3.0,2022-09,Rural,478273.31999999995,0.23057977254459563,0.5,0.1155
61,0.35,0.1,0.1,0.45,,0.45,0.25,3.0,2022-09,Urban,223712.15999999997,0.29000987355787206,0.75,0.21749999999999997
62,0.9,0.0,0.35,0.35,0.7,0.4,0.45,3.0,2022-09,Rural,162750.41999999998,0.2551499239147386,0.75,0.19125
63,0.8,0.0,0.05,0.05,,0.4,0.25,3.0,2022-09,Urban,35286.3,0.21715516529244666,0.75,0.16275
64,0.9,0.3,0.5,0.7,0.05,0.4,0.5,3.0,2022-09,Rural,234041.63999999998,0.23245087375527512,0.5,0.116
65,0.9,0.35,0.5,0.6,,0.4,0.6,3.0,2022-09,Urban,1560150.06,0.2639052749308822,0.5,0.132
66,0.75,0.15,0.1,0.5,0.05,0.4,0.3,3.0,2022-09,Rural,240580.2,0.2076561325264615,0.5,0.104
67,0.75,0.0,0.0,0.25,,0.4,0.25,3.0,2022-09,Urban,201016.62,0.28637118912336257,0.75,0.21449999999999997
68,0.6,0.15,0.3,0.6,,0.35,0.45,3.0,2022-09,Rural,122407.32,0.18857953967809002,0.5,0.0945
69,0.35,0.1,0.1,0.5,0.2,0.25,0.25,3.0,2022-09,Rural,144815.58,0.17114968128242158,0.5,0.0855
70,0.25,0.2,0.25,0.95,0.15,0.35,0.35,3.0,2022-09,Rural,125188.56,0.18858031090233318,0.5,0.0945
71,0.9,0.15,0.4,0.75,0.05,0.35,0.45,3.0,2022-09,Rural,215041.68,0.17115008693823922,0.5,0.0855
72,0.85,0.2,0.3,0.65,,0.35,0.5,3.0,2022-09,Urban,43566.18,0.17115053267858757,0.5,0.0855
73,0.7,0.2,0.35,0.75,,0.45,0.5,3.0,2022-09,Rural,146576.21999999997,0.22344018463515358,0.5,0.1115
74,0.6,0.25,0.25,0.65,,0.45,0.45,3.0,2022-09,Rural,94702.44,0.16401010204490493,0.5,0.082
75,0.55,0.0,0.0,0.35,0.75,0.4,0.35,3.0,2022-09,Rural,202377,0.23057980365843916,0.5,0.1155
76,0.8,0.25,0.55,0.55,0.45,0.45,0.5,3.0,2022-09,Rural,398362.43999999994,0.21008015699358337,0.5,0.105
77,0.75,0.35,0.45,0.4,,0.45,0.5,3.0,2022-09,Urban,102469.92,0.28009210451323374,0.5,0.14
78,0.8,0.3,0.35,0.8,0.55,0.5,0.55,3.0,2022-09,Rural,81732,0.33496690964778286,0.75,0.25125000000000003
79,0.9,0.6,0.4,0.3,1.0,0.5,0.65,4.0,2022-09,Rural,59356.92,0.27258005613004854,0.75,0.20475000000000002
80,0.7,0.35,0.45,0.75,0.0,0.45,0.45,3.0,2022-09,Rural,255668.27999999997,0.24801046931833065,0.5,0.124
81,0.65,0.35,0.2,0.65,,0.4,0.45,3.0,2022-09,Rural,153480.18,0.18867261234082983,0.5,0.0945
82,0.8,0.1,0.25,0.65,,0.35,0.45,3.0,2022-09,Rural,40838.7,0.18079489206138824,0.5,0.0905
83,0.7,0.35,0.35,0.3,0.25,0.35,0.4,3.0,2022-09,Rural,167836.2,0.17115046210863527,0.5,0.0855
84,0.8,0.35,0.45,0.85,0.95,0.4,0.65,3.0,2022-09,Rural,155985.06,0.27258061711458775,0.75,0.20475000000000002
85,1.0,0.4,0.7,0.7,,0.45,0.7,3.0,2022-09,Rural,190344.83999999997,0.23058027766062072,0.5,0.1155
86,0.9,0.15,0.3,0.2,0.2,0.35,0.35,3.0,2022-09,Rural,252871.91999999998,0.18858002620058797,0.5,0.0945
87,0.9,0.15,0.4,0.35,,0.35,0.45,3.0,2022-09,Urban,25855.62,0.23057957689327355,0.5,0.1155
88,0.5,0.7,0.45,0.75,,0.45,0.6,3.0,2022-09,Rural,177273.59999999998,0.30581092615294564,0.5,0.153
89,0.65,0.45,0.15,0.85,,0.45,0.5,3.0,2022-09,Rural,117504.66,0.2299867146421363,0.5,0.115
90,0.75,0.2,0.25,0.4,0.1,0.35,0.35,3.0,2021-03,Urban,191335.66666666666,0.24,0.5,0.12
91,0.8,0.35,0.5,0.75,0.35,0.35,0.55,3.0,2021-03,Rural,111888,0.24,0.5,0.12
92,0.4,0.0,0.25,0.55,0.0,0.2,0.25,3.0,2021-03,Rural,16800,0.38,0.5,0.19
93,1.0,0.15,0.4,0.45,0.45,0.35,0.45,3.0,2021-03,Rural,30538.666666666668,0.81,0.5,0.405
94,0.8,0.05,0.2,0.9,0.25,0.25,0.45,3.0,2021-03,Rural,127505,0.43,0.5,0.215
95,0.6,0.05,0.3,0.3,0.4,0.3,0.35,3.0,2021-03,Rural,42594,0.65,0.5,0.325
96,0.8,0.5,0.6,0.95,0.3,0.35,0.65,3.0,2021-03,Urban,14606.666666666666,0.61,0.5,0.305
97,0.8,0.05,0.3,0.35,0.25,0.35,0.35,3.0,2021-03,Rural,19023.666666666668,0.72,0.5,0.36
98,0.55,0.2,0.3,0.35,0.2,0.35,0.3,3.0,2021-03,Rural,62269.666666666664,0.79,0.5,0.395
99,0.7,0.0,0.0,0.2,0.1,0.15,0.2,2.0,2021-03,Rural,0,0.41,0.5,0.205
100,0.9,0.1,0.3,0.4,0.5,0.3,0.45,3.0,2021-03,Urban,9180.666666666666,0.14,0.5,0.07
101,0.85,0.35,0.55,0.35,0.65,0.3,0.55,3.0,2021-03,Rural,6400,0.52,0.5,0.26
102,0.8,0.05,0.15,0.35,0.3,0.35,0.35,3.0,2021-03,Rural,60704,0.18,0.5,0.09
103,0.85,0.1,0.3,0.5,0.3,0.25,0.4,3.0,2021-03,Rural,134092,0.37,0.5,0.185
104,0.8,0.05,0.0,0.15,0.05,0.15,0.2,2.0,2021-03,Rural,39396,0.98,0.5,0.49
105,0.5,0.05,0.2,0.6,0.15,0.35,0.3,3.0,2021-03,Rural,718.6666666666666,0.83,0.5,0.415
106,0.7,0.05,0.1,0.4,0.35,0.35,0.3,3.0,2021-03,Rural,63718.666666666664,0.74,0.5,0.37
107,0.9,0.6,0.7,0.65,0.95,0.65,0.75,4.0,2021-03,Rural,164710,0.23,0.5,0.115
108,0.75,0.5,0.4,0.35,0.25,0.25,0.45,3.0,2021-03,Urban,1750,0.79,0.5,0.395
109,0.8,0.05,0.1,0.35,0.35,0.25,0.35,3.0,2021-03,Rural,59768,0.6,0.5,0.3
110,0.75,0.05,0.4,0.55,0.2,0.3,0.4,3.0,2021-03,Urban,533.3333333333334,0.55,0.5,0.275
111,0.8,0.1,0.3,0.4,0.45,0.3,0.4,3.0,2021-03,Rural,10850,0.63,0.5,0.315
112,0.85,0.05,0.25,0.4,0.6,0.4,0.45,3.0,2021-03,Urban,34085.333333333336,0.22,0.5,0.11
113,0.9,0.05,0.3,0.2,0.6,0.4,0.4,3.0,2021-03,Rural,198767,0.19,0.5,0.095
114,0.95,0.1,0.4,0.2,0.3,0.4,0.4,3.0,2021-03,Rural,92438.66666666667,0.68,0.5,0.34
115,0.95,0.05,0.6,0.6,0.35,0.4,0.5,3.0,2021-03,Rural,80473.33333333333,0.67,0.5,0.335
116,0.8,0.0,0.4,0.95,0.55,0.45,0.55,4.0,2021-03,Rural,123648,0.2,0.5,0.1
117,0.95,0.2,0.3,0.9,0.5,0.55,0.55,4.0,2021-03,Rural,112100.33333333333,0.1,0.5,0.05
118,0.75,0.35,0.45,0.9,0.45,0.35,0.6,3.0,2021-03,Rural,114804.66666666667,0.48,0.5,0.24
119,0.8,0.05,0.45,0.45,0.2,0.35,0.4,3.0,2021-03,Rural,10831.333333333334,0.88,0.5,0.44
120,0.65,0.25,0.2,0.6,0.3,0.25,0.4,3.0,2021-03,Rural,41657,0.76,0.5,0.38
