,2017,2018,2019,2020,2021,2022,2023
Serbia,6292.546,7252.404,7417.206,7733.803,9184.198,9528.432,11301.218
Seychelles,17738.31,18602.985,19361.549,14199.336,15306.13,19982.733,20889.545
Sierra Leone,495.812,533.972,521.396,508.812,509.482,479.777,414.962
Singapore,61164.897,66836.539,66070.471,61274.006,77710.07,82807.649,87884.162
Slovak Republic,17591.574,19508.33,19396.966,19539.376,21747.285,21263.247,24471.091
Slovenia,23511.316,26224.257,26138.901,25617.868,29338.087,28526.621,32350.022
Solomon Islands,2310.86,2474.44,2417.332,2236.417,2194.647,2204.607,2285.399
Somalia,606.778,592.097,655.442,622.951,647.762,667.318,717.406
South Africa,6678.292,6991.709,6622.629,5672.278,6983.509,6684.479,6190.742
"South Sudan, Republic of",143.345,240.328,302.262,388.423,418.594,585.003,417.438
Spain,28211.927,30438.338,29603.298,26968.374,30563.552,29799.745,33090.238
Sri Lanka,4401.055,4360.149,4082.694,3852.39,3996.572,3341.996,no data
Sudan,1199.177,796.298,777.066,777.259,764.588,723.032,533.845
Suriname,6156.461,6772.07,6662.874,4786.833,4896.065,5687.183,5667.105
Sweden,53459.072,54295.731,51694.498,52706.294,61203.119,56188.324,55215.847
Switzerland,82584.384,85546.669,84474.469,86109.53,93700.472,93657.234,102865.569
Syria,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,1594.356,1851.025,1953.567,2181.87,2370.311,2413.087,2904.715
Taiwan Province of China,25061.624,25825.566,25903.168,28571.44,33186.341,32687.371,32339.701
Tajikistan,844.595,852.341,893.318,858.445,925.135,1066.747,1180.058
Tanzania,1002.869,1036.93,1077.739,1130.141,1170.909,1252.882,1326.634
Thailand,6593.816,7298.941,7812.886,7169.877,7227.476,7069.589,7297.985
Timor-Leste,1293.236,1248.543,1595.876,1673.492,2763.794,3682.474,1497.408
Togo,813.108,873.964,848.341,876.511,964.325,919.575,1004.466
Tonga,4577.988,4784.368,5092.873,4887.486,4695.159,4977.965,5487.667
Trinidad and Tobago,16943.237,17242.203,16600.892,14435.66,17004.777,21252.661,19621.786
Tunisia,3656.508,3661.194,3556.377,3573.836,3884.708,3822.295,4190.603
Turkmenistan,8120.517,8438.284,8917.983,8776.556,10463.055,12379.58,12934.243
Tuvalu,4255.25,4498.998,5046.827,4820.26,5571.914,5452.057,5772.918
"Türkiye, Republic of",10628.898,9514.047,9145.817,8612.903,9663.877,10621.965,13383.924
Uganda,838.341,879.342,951.523,920.065,1005.078,1103.109,1163.034
Ukraine,2655.99,3118.258,3688.953,3780.075,4874.309,4606.798,5224.586
United Arab Emirates,41971.753,45591.68,43981.605,37648.963,43438.523,51399.958,50602.325
United Kingdom,40666.831,43377.759,42797.258,40347.364,46421.611,45461.066,48912.776
United States,59878.72,62787.782,65077.295,63577.341,70159.774,76343.247,80412.41
Uruguay,18626.981,18604.958,17636.703,15198.368,17333.608,20022.144,21377.631
Uzbekistan,1932.763,1618.967,1812.738,1776.267,2013.971,2279.972,2509.156
Vanuatu,3158.901,3256.353,3187.38,3341.002,3017.666,3325.15,3491.863
Venezuela,3806.656,3529.72,2624.411,1566.602,2090.398,3421.754,3474.332
Vietnam,2957.899,3216.254,3439.102,3548.892,3753.428,4086.519,4316.336
West Bank and Gaza,3407.307,3353.225,3442.754,3044.744,3464.383,no data,no data
Yemen,905.181,710.384,702.286,633.311,590.136,706.679,617.67
Zambia,1495.751,1475.2,1268.121,956.832,1137.344,1485.788,1435.89
Zimbabwe,1481.241,2529.401,1747.346,1771.29,2323.09,1990.93,2005.875
