,yearmon,fatalities,country_name
36,2020-01,6396,Congo_DRC
37,2020-02,5232,Congo_DRC
38,2020-03,4860,Congo_DRC
39,2020-04,8136,Congo_DRC
40,2020-05,7524,Congo_DRC
41,2020-06,7236,Congo_DRC
42,2020-07,7248,Congo_DRC
43,2020-08,4692,Congo_DRC
44,2020-09,5196,Congo_DRC
45,2020-10,6696,Congo_DRC
46,2020-11,4512,Congo_DRC
47,2020-12,4980,Congo_DRC
48,2021-01,6624,Congo_DRC
49,2021-02,5400,Congo_DRC
50,2021-03,5772,Congo_DRC
51,2021-04,6168,Congo_DRC
52,2021-05,4752,Congo_DRC
53,2021-06,5424,Congo_DRC
54,2021-07,4980,Congo_DRC
55,2021-08,5556,Congo_DRC
56,2021-09,4716,Congo_DRC
57,2021-10,6096,Congo_DRC
58,2021-11,10032,Congo_DRC
59,2021-12,9024,Congo_DRC
60,2022-01,10668,Congo_DRC
61,2022-02,8472,Congo_DRC
62,2022-03,8652,Congo_DRC
63,2022-04,5388,Congo_DRC
64,2022-05,5172,Congo_DRC
65,2022-06,4560,Congo_DRC
66,2022-07,5112,Congo_DRC
67,2022-08,5580,Congo_DRC
68,2022-09,5496,Congo_DRC
69,2022-10,4020,Congo_DRC
70,2022-11,7620,Congo_DRC
71,2022-12,4896,Congo_DRC
72,2023-01,4380,Congo_DRC
73,2023-02,2796,Congo_DRC
74,2023-03,5232,Congo_DRC
75,2023-04,6132,Congo_DRC
76,2023-05,4152,Congo_DRC
77,2023-06,4092,Congo_DRC
78,2023-07,2964,Congo_DRC
79,2023-08,5448,Congo_DRC
80,2023-09,3060,Congo_DRC
81,2023-10,3936,Congo_DRC
82,2023-11,3300,Congo_DRC
83,2023-12,2928,Congo_DRC
0,2017-01,0,Djibouti
1,2017-03,0,Djibouti
2,2017-06,0,Djibouti
3,2017-10,0,Djibouti
4,2018-05,0,Djibouti
5,2018-08,0,Djibouti
6,2018-12,0,Djibouti
7,2019-04,0,Djibouti
8,2019-05,0,Djibouti
9,2019-06,36,Djibouti
10,2019-08,0,Djibouti
11,2019-09,12,Djibouti
12,2019-10,0,Djibouti
13,2019-11,0,Djibouti
14,2019-12,0,Djibouti
15,2020-03,0,Djibouti
16,2020-04,0,Djibouti
17,2020-05,0,Djibouti
18,2020-06,0,Djibouti
19,2020-07,0,Djibouti
20,2020-08,0,Djibouti
21,2020-10,0,Djibouti
22,2020-11,0,Djibouti
23,2021-01,24,Djibouti
24,2021-02,0,Djibouti
25,2021-03,0,Djibouti
26,2021-04,0,Djibouti
27,2021-07,0,Djibouti
28,2021-08,36,Djibouti
29,2021-11,0,Djibouti
30,2022-01,0,Djibouti
31,2022-03,0,Djibouti
32,2022-05,0,Djibouti
33,2022-06,0,Djibouti
34,2022-10,84,Djibouti
35,2022-12,0,Djibouti
36,2023-02,0,Djibouti
37,2023-03,36,Djibouti
38,2023-04,0,Djibouti
39,2023-05,48,Djibouti
40,2023-07,0,Djibouti
41,2023-09,0,Djibouti
42,2023-12,120,Djibouti
0,2018-01,36,Dominican_Republic
1,2018-02,36,Dominican_Republic
2,2018-03,36,Dominican_Republic
3,2018-04,24,Dominican_Republic
4,2018-05,0,Dominican_Republic
5,2018-06,12,Dominican_Republic
6,2018-07,0,Dominican_Republic
7,2018-08,24,Dominican_Republic
8,2018-09,0,Dominican_Republic
9,2018-10,84,Dominican_Republic
10,2018-11,0,Dominican_Republic
11,2018-12,0,Dominican_Republic
12,2019-01,0,Dominican_Republic
13,2019-02,48,Dominican_Republic
14,2019-03,0,Dominican_Republic
15,2019-04,12,Dominican_Republic
16,2019-05,24,Dominican_Republic
17,2019-06,24,Dominican_Republic
18,2019-07,12,Dominican_Republic
19,2019-08,12,Dominican_Republic
20,2019-09,12,Dominican_Republic
21,2019-10,0,Dominican_Republic
22,2019-11,24,Dominican_Republic
23,2019-12,24,Dominican_Republic
24,2020-01,24,Dominican_Republic
25,2020-02,24,Dominican_Republic
26,2020-03,24,Dominican_Republic
27,2020-04,0,Dominican_Republic
28,2020-05,0,Dominican_Republic
29,2020-06,24,Dominican_Republic
30,2020-07,12,Dominican_Republic
31,2020-08,0,Dominican_Republic
32,2020-09,12,Dominican_Republic
33,2020-10,0,Dominican_Republic
34,2020-11,0,Dominican_Republic
35,2020-12,0,Dominican_Republic
36,2021-01,0,Dominican_Republic
37,2021-02,0,Dominican_Republic
38,2021-03,24,Dominican_Republic
39,2021-04,0,Dominican_Republic
40,2021-05,0,Dominican_Republic
41,2021-06,0,Dominican_Republic
42,2021-07,0,Dominican_Republic
43,2021-08,0,Dominican_Republic
44,2021-09,12,Dominican_Republic
45,2021-10,0,Dominican_Republic
46,2021-11,0,Dominican_Republic
47,2021-12,0,Dominican_Republic
48,2022-01,36,Dominican_Republic
49,2022-02,12,Dominican_Republic
50,2022-03,12,Dominican_Republic
51,2022-04,12,Dominican_Republic
52,2022-05,0,Dominican_Republic
53,2022-06,36,Dominican_Republic
54,2022-07,12,Dominican_Republic
55,2022-08,36,Dominican_Republic
56,2022-09,24,Dominican_Republic
57,2022-10,24,Dominican_Republic
58,2022-11,24,Dominican_Republic
59,2022-12,36,Dominican_Republic
60,2023-01,0,Dominican_Republic
61,2023-02,36,Dominican_Republic
62,2023-03,24,Dominican_Republic
63,2023-04,0,Dominican_Republic
64,2023-05,0,Dominican_Republic
65,2023-06,12,Dominican_Republic
66,2023-07,0,Dominican_Republic
67,2023-08,24,Dominican_Republic
68,2023-09,0,Dominican_Republic
69,2023-10,24,Dominican_Republic
70,2023-11,12,Dominican_Republic
71,2023-12,12,Dominican_Republic
0,2018-01,1344,El_Salvador
1,2018-02,1056,El_Salvador
2,2018-03,1236,El_Salvador
3,2018-04,1008,El_Salvador
4,2018-05,600,El_Salvador
5,2018-06,864,El_Salvador
6,2018-07,732,El_Salvador
7,2018-08,816,El_Salvador
8,2018-09,600,El_Salvador
9,2018-10,1140,El_Salvador
10,2018-11,1212,El_Salvador
11,2018-12,912,El_Salvador
12,2019-01,1584,El_Salvador
13,2019-02,792,El_Salvador
14,2019-03,744,El_Salvador
15,2019-04,960,El_Salvador
16,2019-05,948,El_Salvador
17,2019-06,1248,El_Salvador
18,2019-07,792,El_Salvador
19,2019-08,804,El_Salvador
20,2019-09,912,El_Salvador
21,2019-10,636,El_Salvador
22,2019-11,696,El_Salvador
23,2019-12,576,El_Salvador
24,2020-01,516,El_Salvador
25,2020-02,336,El_Salvador
26,2020-03,156,El_Salvador
27,2020-04,1020,El_Salvador
28,2020-05,216,El_Salvador
29,2020-06,216,El_Salvador
30,2020-07,348,El_Salvador
31,2020-08,372,El_Salvador
32,2020-09,336,El_Salvador
33,2020-10,468,El_Salvador
34,2020-11,276,El_Salvador
35,2020-12,336,El_Salvador
36,2021-01,516,El_Salvador
37,2021-02,696,El_Salvador
38,2021-03,396,El_Salvador
39,2021-04,384,El_Salvador
40,2021-05,576,El_Salvador
41,2021-06,288,El_Salvador
42,2021-07,420,El_Salvador
43,2021-08,228,El_Salvador
44,2021-09,252,El_Salvador
45,2021-10,312,El_Salvador
46,2021-11,636,El_Salvador
47,2021-12,396,El_Salvador
48,2022-01,300,El_Salvador
49,2022-02,348,El_Salvador
50,2022-03,1128,El_Salvador
51,2022-04,240,El_Salvador
52,2022-05,240,El_Salvador
53,2022-06,288,El_Salvador
54,2022-07,120,El_Salvador
55,2022-08,192,El_Salvador
56,2022-09,144,El_Salvador
57,2022-10,108,El_Salvador
58,2022-11,132,El_Salvador
59,2022-12,84,El_Salvador
60,2023-01,48,El_Salvador
61,2023-02,60,El_Salvador
62,2023-03,72,El_Salvador
63,2023-04,24,El_Salvador
64,2023-05,72,El_Salvador
65,2023-06,84,El_Salvador
66,2023-07,60,El_Salvador
67,2023-08,96,El_Salvador
68,2023-09,72,El_Salvador
69,2023-10,24,El_Salvador
70,2023-11,60,El_Salvador
71,2023-12,12,El_Salvador
0,2017-06,0,Eswatini
1,2017-09,0,Eswatini
2,2018-01,0,Eswatini
3,2018-03,0,Eswatini
4,2018-04,0,Eswatini
5,2018-06,0,Eswatini
6,2018-08,0,Eswatini
7,2018-09,0,Eswatini
8,2019-02,0,Eswatini
